Logged,Captured,Device ID,CPM0,CPM1,Latitude,Longitude,Altitude,Bat V,Bat SOC,SNR,Temp C,Humid %,Press Pa,PMS PM 1.0,PMS PM 2.5,PMS PM 10.0,PMS # 0.3,PMS # 0.5,PMS # 1.0,PMS # 2.5,PMS # 5.0,PMS # 10.0,PMS # Secs,OPC PM 1.0,OPC PM 2.5,OPC PM 10.0,OP # 0.38,OPC # 0.54,OPC # 1.0,OPC # 2.1,OPC # 5.0,OPC # 10.0,OPC # Secs
2016-10-09 23:39:38,2016-10-09T23:39:36Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:42:28,2016-10-09T23:42:26Z,1553490618,32,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:45:11,2016-10-09T23:45:08Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:47:53,2016-10-09T23:47:51Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:50:22,2016-10-09T23:50:20Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:53:12,2016-10-09T23:53:09Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:55:54,2016-10-09T23:55:52Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:58:37,2016-10-09T23:58:35Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:01:27,2016-10-10T00:01:25Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:04:10,2016-10-10T00:04:08Z,1553490618,31,,42.564835,-70.783821,0,4.17,97.66,8.0,9.16,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:06:53,2016-10-10T00:06:51Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:09:43,2016-10-10T00:09:40Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:12:25,2016-10-10T00:12:23Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:15:08,2016-10-10T00:15:06Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:17:58,2016-10-10T00:17:55Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:20:40,2016-10-10T00:20:38Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:23:23,2016-10-10T00:23:21Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:26:13,2016-10-10T00:26:11Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:29:33,2016-10-10T00:28:53Z,1553490618,,8,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
